Timestamp,First,Last,Phone Number,Email Address,What is your major or intended major?,What is your dream/intended occupation?,What are your professional interests and passions?,What are some of your hobbies/interests?,How often can you/do you intend to meet with your mentor?,What time zone are you in?,What is your Myers-Briggs personality type?,"On a scale of 1 to 5, how introverted or extraverted are you?","Would you like to be paired with someone who is extraverted or introverted, or are both fine?",Check the following to indicate expertise for each skill. [Bitcoin],Check the following to indicate expertise for each skill. [Ethereum],Check the following to indicate expertise for each skill. [DeFi],Check the following to indicate expertise for each skill. [Cryptography],Check the following to indicate expertise for each skill. [Governance],Check the following to indicate expertise for each skill. [Privacy],Check the following to indicate expertise for each skill. [Usability],Check the following to indicate expertise for each skill. [Scalability],Check the following to indicate expertise for each skill. [Research],Check the following to indicate expertise for each skill. [Design],Check the following to indicate expertise for each skill. [Development],Check the following to indicate expertise for each skill. [Product],Check the following to indicate expertise for each skill. [Investment],Check the following to indicate expertise for each skill. [Community],Check the following to indicate expertise for each skill. [Trading],Check the following to indicate expertise for each skill. [Legal],Check the following to indicate expertise for each skill. [Marketing],Check the following to indicate expertise for each skill. [Entrepreneurship],Check the following skills that you are interested in learning about or gaining experience with.,What are your main goals for this mentorship program?,Why are you interested in blockchain?,Why do you think blockchain is important?,"If you pursued a second major, please indicate which one below. "
5/17/2020 0:42:47,C14,D14,9885761512,bobette@gmail.com,Computer Science,Software Engineer,"Cryptography, Software Engineering/Development, Artificial Intelligence, Web Development, Mobile Development","Art, Music, Watching TV, Cooking",Once a week,MST (Mountain Standard Time),ISTJ,2,Extraverted,Unfamiliar,Unfamiliar,Familiar with amateur experience,Unfamiliar,Unfamiliar,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Familiar with amateur experience,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,"Bitcoin, Scalability, Development, Product",C14's Goals,Why C14 is interested in blockchain,Why C14 thinks blockchain is important.,
5/17/2020 0:46:55,C15,D15,2481927491,just@gmail.com,Electrical Engineering and Computer Science,Software Engineer,"Software Engineering/Development, Machine Learning, Artificial Intelligence, Product Management, Web Development, Mobile Development, UI/UX Design, Social Good, Economics, VR","Art, Music, Watching TV, Volunteering, Outdoor Activities",Once every 2-3 weeks,EET (Eastern European Time),ESFJ,4,Either/No preference,Somewhat familiar,Unfamiliar,Unfamiliar,Somewhat familiar,Unfamiliar,Familiar with amateur experience,Prior experience from classes/projects,Unfamiliar,Familiar with amateur experience,Unfamiliar,Familiar with amateur experience,Professional or industry-level experience,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,"Ethereum, Usability, Scalability, Research, Trading",C15's Goals,Why C15 is interested in blockchain,Why C15 thinks blockchain is important.,
5/17/2020 1:21:24,C16,D16,1234819281,egarreau@berkeley.edu,Cognitive Science,Founder/CEO,"UI/UX Design, Business/Finance, Entrepreneurship","Baking, Outdoor Activities",Once every 2-3 weeks,JST (Japan Standard Time),ESFP,3,Either/No preference,Familiar with amateur experience,Unfamiliar,Unfamiliar,Unfamiliar,Somewhat familiar,Familiar with amateur experience,Prior experience from classes/projects,Unfamiliar,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Familiar with amateur experience,Somewhat familiar,Unfamiliar,Unfamiliar,"Scalability, Product",C16's Goals,Why C16 is interested in blockchain,Why C16 thinks blockchain is important.,
5/17/2020 1:23:57,C17,D17,19582819,bear@gmail.com,Applied Mathematics,Product Manager,"Data Analytics, Product Management, Distributed Systems, Cybersecurity","Volunteering, Politics",Once a month,CTT (China Taiwan Time),ESFJ,5,Introverted,Familiar with amateur experience,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Somewhat familiar,Somewhat familiar,Unfamiliar,"Research, Development, Investment",C17's Goals,Why C17 is interested in blockchain,Why C17 thinks blockchain is important.,
5/17/2020 2:11:06,C18,D18,292841827,egarreau@berkeley.edu,Materials Science,Researcher,"Data Analytics, Distributed Systems, Research, Entrepreneurship",Dance,Once a month,NET (Near East Time),INFJ,3,Introverted,Familiar with amateur experience,Somewhat familiar,Familiar with amateur experience,Unfamiliar,Somewhat familiar,Unfamiliar,Familiar with amateur experience,Somewhat familiar,Unfamiliar,Unfamiliar,Somewhat familiar,Unfamiliar,Unfamiliar,Somewhat familiar,Unfamiliar,Somewhat familiar,Somewhat familiar,Unfamiliar,"Cryptography, Product",C18's Goals,Why C18 is interested in blockchain,Why C18 thinks blockchain is important.,Data Science
5/17/2020 13:40:01,C19,D19,634-444-4444,pparker@berkeley.edu,Cognitive Science,CTO,"Cryptography, Artificial Intelligence, Web Development, Business/Finance","Volunteering, Video gaming",Once every 2-3 weeks,EST (Eastern Standard Time),ENFP,5,Extraverted,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,"Bitcoin, Ethereum, DeFi, Governance, Scalability, Design, Trading",C19's Goals,Why C19 is interested in blockchain,Why C19 thinks blockchain is important.,
5/17/2020 13:41:26,C20,D20,493-333-4444,egarreau@berkeley.edu,Electrical Engineering and Computer Science,Product Manager,"Cryptography, Software Engineering/Development, Product Management, Web Development, Distributed Systems, Research, Entrepreneurship","Reading, Watching TV, Baking, Yoga",Once a month,VST (Vietnam Standard Time),INFP,4,Extraverted,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,"Usability, Scalability, Design, Product, Investment",C20's Goals,Why C20 is interested in blockchain,Why C20 thinks blockchain is important.,
5/17/2020 13:43:15,C21,D21,(444)333-4444,egarreau@berkeley.edu,Materials Science,Product Manager,"Business/Finance, Entrepreneurship, Startups",Cooking,Once a week,PNT (Phoenix Standard Time),INTJ,1,Either/No preference,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,"Investment, Trading, Legal, Marketing",C21's Goals,Why C21 is interested in blockchain,Why C21 thinks blockchain is important.,Physics
5/17/2020 13:45:16,C22,D22,444-333-3333,egarreau@berkeley.edu,Physics,Marketer/CMO,"Business/Finance, Research, Cybersecurity","Cooking, Video gaming",Once a week,PST (Pacific Standard Time),ENTP,5,Either/No preference,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Unfamiliar,Unfamiliar,"Cryptography, Scalability, Design",C22's Goals,Why C22 is interested in blockchain,Why C22 thinks blockchain is important.,
5/17/2020 13:46:51,C23,D23,444-444-2222,egarreau@berkeley.edu,Statistics,Writer/Journalist,"Data Analytics, Cryptography, Artificial Intelligence, Web Development","Cooking, Baking",Once a week,PNT (Phoenix Standard Time),INTJ,1,Either/No preference,Professional or industry-level experience,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,"Privacy, Usability, Scalability, Trading",C23's Goals,Why C23 is interested in blockchain,Why C23 thinks blockchain is important.,
5/17/2020 16:47:41,C24,D24,444-333-2221,egarreau@berkeley.edu,Electrical Engineering and Computer Science,"Teacher/Professor, Master's Student, Ph. D Student","Machine Learning, Mobile Development","Reading, Writing",Once a month,BST (Bangladesh Standard Time),ENFP,3,Extraverted,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,Unfamiliar,"Research, Community",C24's Goals,Why C24 is interested in blockchain,Why C24 thinks blockchain is important.,
5/17/2020 17:16:59,C25,D25,805-705-1335,egarreau@berkeley.edu,Computer Science,"Founder/CEO, Consultant","Blockchain, Machine Learning, Artificial Intelligence, UI/UX Design, Business/Finance, Social Good, Entrepreneurship","Sports, Music, Watching TV, Travel, Video gaming",Once a week,PST (Pacific Standard Time),INTP,1,Introverted,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Unfamiliar,Unfamiliar,Professional or industry-level experience,Professional or industry-level experience,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Prior experience from classes/projects,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,"Bitcoin, Privacy, Community, Marketing",C25's Goals,Why C25 is interested in blockchain,Why C25 thinks blockchain is important.,
5/17/2020 17:17:57,C26,D26,444-444-1111,egarreau@berkeley.edu,Computer Science,"Researcher, Writer/Journalist, COO","Product Management, Business/Finance","Reading, Volunteering, Climbing",Once a week,PST (Pacific Standard Time),ENFJ,3,Either/No preference,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,"Governance, Design, Product",C26's Goals,Why C26 is interested in blockchain,Why C26 thinks blockchain is important.,Economics
5/17/2020 17:19:09,C27,D27,650-333-3331,egarreau@berkeley.edu,Data Science,"Lawyer, Consultant, Miner, Ph. D Student","Web Development, UI/UX Design","Sports, Dance, Watching TV, Politics, Running/Cross country",Once a month,EST (Eastern Standard Time),ENTJ,4,Extraverted,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,Somewhat familiar,Prior experience from classes/projects,Somewhat familiar,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Somewhat familiar,Professional or industry-level experience,Professional or industry-level experience,"Privacy, Research, Community, Legal",C27's Goals,Why C27 is interested in blockchain,Why C27 thinks blockchain is important.,
5/17/2020 17:25:50,C28,D28,333-333-4444,egarreau@berkeley.edu,Accounting,"Product Manager, Lawyer","Artificial Intelligence, Product Management","Dance, Watching TV",Once a week,HST (Hawaii Standard Time),ENFJ,4,Introverted,Professional or industry-level experience,Professional or industry-level experience,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Professional or industry-level experience,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Prior experience from classes/projects,Prior experience from classes/projects,Somewhat familiar,Professional or industry-level experience,"Usability, Research, Community, Trading",C28's Goals,Why C28 is interested in blockchain,Why C28 thinks blockchain is important.,Applied Mathematics
5/17/2020 17:26:49,C29,D29,554-444-4444,egarreau@berkeley.edu,Political Science,"Lawyer, Consultant, Blockchain Evangelist, Miner","Web Development, Mobile Development, UI/UX Design","Cooking, Baking, Outdoor Activities",Once a week,EST (Eastern Standard Time),INFP,4,Extraverted,Professional or industry-level experience,Professional or industry-level experience,Prior experience from classes/projects,Prior experience from classes/projects,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Familiar with amateur experience,Familiar with amateur experience,Prior experience from classes/projects,Familiar with amateur experience,Familiar with amateur experience,"Usability, Research, Design, Legal, Marketing",C29's Goals,Why C29 is interested in blockchain,Why C29 thinks blockchain is important.,Pure Mathematics
5/17/2020 17:27:55,C30,D30,123-333-3333,egarreau@berkeley.edu,Environmental Economics,"Public Speaker, COO, Lawyer, Consultant","Artificial Intelligence, Mobile Development, Cybersecurity, Fintech","Volunteering, Outdoor Activities, Video gaming",Once every 2-3 weeks,BST (Bangladesh Standard Time),INFP,3,Introverted,Professional or industry-level experience,Professional or industry-level experience,Prior experience from classes/projects,Prior experience from classes/projects,Professional or industry-level experience,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Somewhat familiar,Somewhat familiar,Prior experience from classes/projects,Prior experience from classes/projects,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Prior experience from classes/projects,Prior experience from classes/projects,"Research, Design, Product",C30's Goals,Why C30 is interested in blockchain,Why C30 thinks blockchain is important.,
5/17/2020 17:28:54,C31,D31,444-444-4444,egarreau@berkeley.edu,Electrical Engineering and Computer Science,"COO, Consultant","Web Development, Mobile Development, Cybersecurity","Climbing, Video gaming",Once every 2-3 weeks,EAT (Eastern African Time),ENFJ,3,Introverted,Somewhat familiar,Somewhat familiar,Unfamiliar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Unfamiliar,Unfamiliar,Somewhat familiar,Familiar with amateur experience,Somewhat familiar,Familiar with amateur experience,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,Prior experience from classes/projects,Prior experience from classes/projects,Familiar with amateur experience,"Research, Product, Marketing",C31's Goals,Why C31 is interested in blockchain,Why C31 thinks blockchain is important.,
5/17/2020 17:33:33,C32,D32,222-222-2222,egarreau@berkeley.edu,Pure Mathematics,"Public Speaker, Consultant, Analyst","UI/UX Design, Distributed Systems","Watching TV, Cooking",Once every 2-3 weeks,PRT (Puerto Rico and US Virgin Islands Time),ISFJ,4,Introverted,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Professional or industry-level experience,Professional or industry-level experience,Familiar with amateur experience,Familiar with amateur experience,Familiar with amateur experience,Professional or industry-level experience,Professional or industry-level experience,Familiar with amateur experience,"DeFi, Usability, Development, Trading",C32's Goals,Why C32 is interested in blockchain,Why C32 thinks blockchain is important.,
